com.mysql.cj.jdbc.ClientPreparedStatement: INSERT INTO plants(id,name,unitType) VALUES(** NOT SPECIFIED **,** NOT SPECIFIED **,** NOT SPECIFIED **)
INSERT INTO plants(id,name,unitType) VALUES(41,plant41,mass)
INSERT INTO plants(id,name,unitType) VALUES(42,plant42,mass)
INSERT INTO plants(id,name,unitType) VALUES(43,plant43,mass)
INSERT INTO plants(id,name,unitType) VALUES(44,plant44,mass)
INSERT INTO plants(id,name,unitType) VALUES(45,plant45,mass)
INSERT INTO plants(id,name,unitType) VALUES(46,plant46,mass)
INSERT INTO plants(id,name,unitType) VALUES(47,plant47,mass)
INSERT INTO plants(id,name,unitType) VALUES(48,plant48,mass)
INSERT INTO plants(id,name,unitType) VALUES(49,plant49,mass)
INSERT INTO plants(id,name,unitType) VALUES(50,plant50,mass)
INSERT INTO plants(id,name,unitType) VALUES(51,plant51,mass)
INSERT INTO plants(id,name,unitType) VALUES(52,plant52,mass)
INSERT INTO plants(id,name,unitType) VALUES(53,plant53,mass)
INSERT INTO plants(id,name,unitType) VALUES(54,plant54,mass)
INSERT INTO plants(id,name,unitType) VALUES(55,plant55,mass)
INSERT INTO plants(id,name,unitType) VALUES(56,plant56,mass)
INSERT INTO plants(id,name,unitType) VALUES(57,plant57,mass)
INSERT INTO plants(id,name,unitType) VALUES(58,plant58,mass)
INSERT INTO plants(id,name,unitType) VALUES(59,plant59,mass)
INSERT INTO plants(id,name,unitType) VALUES(60,plant60,mass)
INSERT INTO plants(id,name,unitType) VALUES(61,plant61,mass)
INSERT INTO plants(id,name,unitType) VALUES(62,plant62,mass)
INSERT INTO plants(id,name,unitType) VALUES(63,plant63,mass)
INSERT INTO plants(id,name,unitType) VALUES(64,plant64,mass)
INSERT INTO plants(id,name,unitType) VALUES(65,plant65,mass)
INSERT INTO plants(id,name,unitType) VALUES(66,plant66,mass)
INSERT INTO plants(id,name,unitType) VALUES(67,plant67,mass)
INSERT INTO plants(id,name,unitType) VALUES(68,plant68,mass)
INSERT INTO plants(id,name,unitType) VALUES(69,plant69,mass)
INSERT INTO plants(id,name,unitType) VALUES(70,plant70,mass)
INSERT INTO plants(id,name,unitType) VALUES(71,plant71,mass)
INSERT INTO plants(id,name,unitType) VALUES(72,plant72,mass)
INSERT INTO plants(id,name,unitType) VALUES(73,plant73,mass)
INSERT INTO plants(id,name,unitType) VALUES(74,plant74,mass)
INSERT INTO plants(id,name,unitType) VALUES(75,plant75,mass)
INSERT INTO plants(id,name,unitType) VALUES(76,plant76,mass)
INSERT INTO plants(id,name,unitType) VALUES(77,plant77,mass)
INSERT INTO plants(id,name,unitType) VALUES(78,plant78,mass)
INSERT INTO plants(id,name,unitType) VALUES(79,plant79,mass)
INSERT INTO plants(id,name,unitType) VALUES(80,plant80,mass)
INSERT INTO plants(id,name,unitType) VALUES(81,plant81,mass)
INSERT INTO plants(id,name,unitType) VALUES(82,plant82,mass)
INSERT INTO plants(id,name,unitType) VALUES(83,plant83,mass)
INSERT INTO plants(id,name,unitType) VALUES(84,plant84,mass)
INSERT INTO plants(id,name,unitType) VALUES(85,plant85,mass)
INSERT INTO plants(id,name,unitType) VALUES(86,plant86,mass)
INSERT INTO plants(id,name,unitType) VALUES(87,plant87,mass)
INSERT INTO plants(id,name,unitType) VALUES(88,plant88,mass)
INSERT INTO plants(id,name,unitType) VALUES(89,plant89,mass)
INSERT INTO plants(id,name,unitType) VALUES(90,plant90,mass)
INSERT INTO plants(id,name,unitType) VALUES(91,plant91,mass)
INSERT INTO plants(id,name,unitType) VALUES(92,plant92,mass)
INSERT INTO plants(id,name,unitType) VALUES(93,plant93,mass)
INSERT INTO plants(id,name,unitType) VALUES(94,plant94,mass)
INSERT INTO plants(id,name,unitType) VALUES(95,plant95,mass)
INSERT INTO plants(id,name,unitType) VALUES(96,plant96,mass)
INSERT INTO plants(id,name,unitType) VALUES(97,plant97,mass)
INSERT INTO plants(id,name,unitType) VALUES(98,plant98,mass)
INSERT INTO plants(id,name,unitType) VALUES(99,plant99,mass)
INSERT INTO plants(id,name,unitType) VALUES(100,plant100,mass)
INSERT INTO activities(id, date, action, type, unit, quantity, field, row, farm_id, user_id) VALUES(4,2022-05-09,pesticide,,kg,94,2,3,6,1)
INSERT INTO activities(id, date, action, type, unit, quantity, field, row, farm_id, user_id) VALUES(5,2022-05-10,pesticide,,kg,53,3,1,6,1)
INSERT INTO activities(id, date, action, type, unit, quantity, field, row, farm_id, user_id) VALUES(6,2022-05-08,fertilizing,,kg,71,2,2,6,1)
INSERT INTO activities(id, date, action, type, unit, quantity, field, row, farm_id, user_id) VALUES(7,2022-05-09,pesticide,,kg,17,3,2,6,1)
INSERT INTO activities(id, date, action, type, unit, quantity, field, row, farm_id, user_id) VALUES(8,2022-05-09,pesticide,,kg,24,0,1,6,1)
INSERT INTO activities(id, date, action, type, unit, quantity, field, row, farm_id, user_id) VALUES(9,2022-05-11,pesticide,,kg,6,0,4,6,1)
INSERT INTO activities(id, date, action, type, unit, quantity, field, row, farm_id, user_id) VALUES(10,2022-05-10,pesticide,,kg,12,1,2,6,1)
INSERT INTO activities(id, date, action, type, unit, quantity, field, row, farm_id, user_id) VALUES(11,2022-05-09,pesticide,,kg,87,1,3,6,1)
